id,kode,nama_bahan,sumber,air_gram,energi_kal,protein_gram,lemak_gram,karbohidrat_gram,serat_gram,abu_gram,kalsium_mg,fosfor_mg,zatbesi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,retinol_mcg,bkaroten_mcg,karotentotal_mcg,thiamin_mg,riboflavin_mg,niasin_mg,vitc_mg,bdd,jenis_pangan,satuan,gambar
1,GP053,abon haruwan,KZGMI2001,11.6,513,23.7,37,21.3,0,6.4,25,25,0.5,61,15,0,0.2,0,0,0,0,0,0,0,100,ikan kerang udang,olahan/produk,https://img-global.cpcdn.com/recipes/cbf330fbd1ba6316/1200x630cq70/photo.jpg
2,GP054,abon ikan,KZGMI2001,6.4,435,27.2,20.2,36.1,0,10.1,0,0,0,0,0,0,0,0,0,0,0,0.8,24.3,0,100,ikan kerang udang,olahan/produk,tidak ada
3,GP001,bekicot dendeng mentah,KZGPI 1990,6.7,441,48.7,20.3,15.8,0,8.4,692,523,16.6,0,0,0,0,6,0,1408,0.56,0,0,69,100,ikan kerang udang,olahan/produk,tidak ada
4,GP002,belut goreng,KZGPI 1990,11.2,417,25.9,19.4,32,0,11.5,840,872,4.9,71,217.7,0.3,1.8,0,0,0,0,0.2,10.5,0,0,ikan kerang udang,olahan/produk,https://asset.kompas.com/crops/EIwKgK9ZA21scjpbrA9zMJehUIU=/100x67:900x600/750x500/data/photo/2021/03/23/6059483f259e2.jpeg
5,GP055,betok wadi masakan,KZGMI2001,69.2,145,16.3,7,4.1,0,3.4,405,523,1.8,69,203,1,1.3,0,0,0,0.22,0,0,0,0,ikan kerang udang,olahan/produk,https://images.tokopedia.net/img/cache/700/VqbcmM/2021/11/29/26184a0a-29ed-48dc-9c82-ca5e70c66b39.jpg
6,GP056,bou ninahu ndamate masakan,KZGMI2001,79.5,79,6.3,1,1.1,0,2.1,0,0,0,67,0,0,0,691,0,0,0.1,0,0.1,0,0,ikan kerang udang,olahan/produk,tidak ada
7,GP057,bouiki ninahu nggaluku masakan,KZGMI2001,73.9,94,7.8,2.2,10.8,0,5.3,0,0,0,58,179.4,0,1.5,0,0,0,0.5,0.03,2.4,0,0,ikan kerang udang,olahan/produk,tidak ada
8,GP058,cakalang asar (asap),KZGMI2001,64.3,155,20.1,3.8,10.2,0,1.6,20,240,2.1,90,390,0.3,0.1,86,0,0,0,0.7,0.2,0,0,ikan kerang udang,olahan/produk,https://indonesiakaya.com/wp-content/uploads/2020/10/Ikan_Asar_yang_sudah_matang_dan_siap_untuk_disajikan_atau_diolah_lagi_.jpg
9,GP003,cumicumi goreng,KZGPI 1990,54.2,265,40.6,10.1,0,0,3.1,62,270,2.7,86,81.9,0,0,0,56,0,0.09,0,6.3,0,0,ikan kerang udang,olahan/produk,https://i0.wp.com/resepmasakandapurarie.com/wp-content/uploads/2014/09/Resep-Cumi-Goreng-Tepung-Crispy-.jpg
10,GP059,dendeng belut goreng masakan,KZGPI 1990,8.2,382,55.7,14.1,8,0,14,1069,654,15.4,0,0,0,0,28,0,1480,0.48,0,0,0,0,ikan kerang udang,olahan/produk,https://selerasa.com/wp-content/uploads/2015/11/images_dendeng-belut.JPG
11,GP060,dendeng mujahir goreng masakan,KZGPI 1990,6.5,598,74.3,26.9,9.2,0,13.1,1957,1447,7.4,0,0,0,0,18,0,25,0.19,0,0,0,0,ikan kerang udang,olahan/produk,https://img-global.cpcdn.com/recipes/c49ebd05c391ae54/680x482cq70/dendeng-mujair-foto-resep-utama.jpg
12,GP061,fillet o-fish,KZGMS 1993,51,270,12.3,15.9,19.3,0.2,1.5,239,272,1.8,439,0,0,0,34,0,580,0.59,0,0,0,0,ikan kerang udang,olahan/produk,https://www.recipetineats.com/wp-content/uploads/2018/08/Homemade-Filet-O-Fish_3.jpg
13,GP062,gete kuah asam masakan,KZGMI2001,80.1,75,8.2,2,6,0,3.8,1620,880,0.8,260,150,0.1,1.5,0,0,0,0,0,0.1,0,0,ikan kerang udang,olahan/produk,https://nilaigizi.com/assets/images/produk/produk_1535785356.jpg
14,GP063,gulai asam keueung masakan,KZGMI2001,86,52,10,0.5,1.8,0,1.7,62,102,0.3,332,141,0,1,0,0,0,0.18,0.34,0,0,0,ikan kerang udang,olahan/produk,https://img-global.cpcdn.com/recipes/8f989c17e5803c3b/680x482cq70/gulai-asam-keueng-asam-pedas-tongkol-seafoodfestival-foto-resep-utama.jpg
15,GP064,gulai ikan masakan,KZGMI2001,72.1,148,10,9.8,5,0,3.1,103,82,0.7,525,256,0.1,0.9,0,0,0,0.26,0.02,0,0,0,ikan kerang udang,olahan/produk,https://sweetrip.id/wp-content/uploads/2022/10/1.jpg
16,GP065,gulai ikan paya masakan,KZGMS 1993,75.7,106,16.5,3.3,2.5,0,2,306,196,4.8,743,0,0,0,86,0,2760,0.32,0,0,0,0,ikan kerang udang,olahan/produk,https://www.glory-travel.com/wp-content/uploads/2018/11/o1AJ9qDyyJNSpZWhUgGYc3MngFqoAN6WRcGHHcyTN6eXyGCVk.jpg
17,GP066,gulai keumamah masakan,KGZMI2001,81.4,110,5.9,8.2,3.2,0,1.3,32,96,1,335,121,0.2,0.9,0,0,0,0.33,0.04,0,0,100,ikan kerang udang,olahan/produk,https://img-global.cpcdn.com/recipes/d43cbe5d1ad0490d/680x482cq70/gulai-keumamah-foto-resep-utama.jpg
18,GP067,gulai tiram masakan,KZGMI2001,73.1,132,9,7.2,7.8,0,2.9,53,134,3.7,285,133,1.1,0.7,389,0,0,0.29,0.12,0,0,0,ikan kerang udang,olahan/produk,https://img-global.cpcdn.com/recipes/09856a93968f8df1/1200x630cq70/photo.jpg
19,GP068,gurame asem manis masakan,KZGPI 1990,63.1,192,12.7,10.1,12.7,0,2.4,283,169,1.1,0,0,0,0,19,0,1440,0.1,0,0,0,0,ikan kerang udang,olahan/produk,https://d12man5gwydfvl.cloudfront.net/wp-content/uploads/2020/03/shutterstock_1561182373.jpg
20,GP069,ikan asar merah masakan,KZGMI2001,69.2,146,17.7,5.9,5.6,0,1.6,100,240,4,170,310,0.3,1.4,224,0,0,0,0,0,0,0,ikan kerang udang,olahan/produk,https://t-2.tstatic.net/medan/foto/bank/images2/Resep-Ikan-Asar-dan-Cara-Membuatnya-Hidangan-Khas-Maluku.jpg
21,GP004,ikan asin kering,DABM 1964,40,193,42,1.5,0,0,16.5,200,300,0,0,0,0,0,0,0,0,0.01,0,0,0,70,ikan kerang udang,olahan/produk,https://cdn2.tstatic.net/tribunnewswiki/foto/bank/images/ikan-asinn.jpg
22,GP005,ikan bandeng presto masakan,KZGPI 1990,45.3,296,17.1,20.3,11.3,0,6,1422,659,1.9,0,0,0,0,6,0,400,0.14,0,0,69,100,ikan kerang udang,olahan/produk,https://www.philips.com/c-dam/b2c/id_ID/experience/ho/cooking/iikan-goreng-thumbnail.jpg
23,GP006,ikan baung bakar,KZGMI 2001,69.8,144,17.8,5.8,5.2,0,1.4,18,169,0,168,236,0.1,0.7,0,0,0,0,0,1.3,0,0,ikan kerang udang,olahan/produk,https://dherdian.files.wordpress.com/2014/12/ikan-baung.jpg
24,GP007,ikan belida bakar,KZGMI2001,68.2,128,18,3,7.2,0,3.6,58,134,0,293,198,0.1,0.4,0,0,0,1.8,0.17,1.5,0,0,ikan kerang udang,olahan/produk,https://nilaigizi.com/assets/images/produk/produk_1535645437.JPG
25,GP008,ikan cakalang asap mentah,KZGMI2001,56.9,204,34.2,5.6,1.9,0,1.4,14,399,1.3,176,588,0.3,0.7,1546,0,0,0.53,0.07,0,0,70,ikan kerang udang,olahan/produk,https://jurnal6.com/wp-content/uploads/2021/11/received_532156504848726.jpeg
26,GP009,ikan cakalang asin mentah,KZGPI 1990,41.7,198,36.5,2.2,5.5,0,14.1,236,346,3.7,4304,302.1,0,0,0,0,0,0.06,0,0,0,70,ikan kerang udang,olahan/produk,https://images.tokopedia.net/img/cache/700/VqbcmM/2021/7/7/76b181bf-a94c-4a34-a2b4-5e1c4ba01dc5.jpg
27,GP010,ikan calo peda mentah,KZGPI 1990,71.3,81,11.4,1.9,3.8,0,11.6,743,174,22.6,0,0,0,0,15,0,0,0,0,0,0,100,ikan kerang udang,olahan/produk,https://assets.ayobandung.com/crop/0x0:0x0/750x500/webp/photo/2021/11/22/2261616866.jpg
28,GP011,ikan gabus asap mentah,KZGMI2001,26.4,261,38.1,2.3,21.9,0,11.3,2510,1840,2.9,320,410,0.4,0.8,114,0,0,0.1,0.1,14.5,0,80,ikan kerang udang,olahan/produk,https://id-test-11.slatic.net/p/bb5a949dcbe534ed2ecdfd98a8e9c07b.jpg
29,GP012,ikan gabus kering,DABM 1964,24,268,58,4,0,0,14,15,100,0.1,0,0,0,0,30,0,0,0.1,0,0,0,80,ikan kerang udang,olahan/produk,https://nilaigizi.com/assets/images/produk/produk_1535646586.jpg
30,GP013,ikan gete goreng,KZGMI2001,44.7,267,23.1,19.4,0.2,0,12.6,2340,1240,0.8,590,440,0.1,1.9,0,0,0,0,0,0.2,0,0,ikan kerang udang,olahan/produk,https://nilaigizi.com/assets/images/produk/produk_1535646628.jpg
31,GP014,ikan hiu kering,KZGMI2001,23.1,298,46.3,3.6,20.2,0,6.8,335,846,2.5,957,1457,0.5,2,661,0,0,0.84,0.11,22.5,0,0,ikan kerang udang,olahan/produk,https://nilaigizi.com/assets/images/produk/produk_1535646676.jpg
32,GP015,ikan katombo asin,KZGPI 1990,44.7,162,31.7,2.8,0.3,0,15.5,279,609,4.6,4393,342.2,2.8,0,0,0,0,0.09,0,0,0,70,ikan kerang udang,olahan/produk,https://img-global.cpcdn.com/recipes/4e1636ada1bc35e0/1200x630cq70/photo.jpg
33,GP016,ikan kayu kering,KZGMI2001,23.1,302,70.7,1.9,0.4,0,3.9,313,22,4.1,345,1045,0,1.8,0,0,0,1.4,0.04,20,0,0,ikan kerang udang,olahan/produk,https://nilaigizi.com/assets/images/produk/produk_1535646769.jpg
34,GP017,ikan lais bakar,KZGMI2001,69.4,147,17.5,6.5,5.4,0,1.2,54,194,0.1,142,209,0,0.5,0,0,0,0,0,0,0,0,ikan kerang udang,olahan/produk,https://dotdolan.com/wp-content/uploads/2022/04/Olahan-Lais_IG-@rukurukuresto-e1649583973110.jpeg
35,GP018,ikan lomak asin mentah,KZGMI2001,21.6,258,40.3,2.3,18.9,0,16.9,140,279,2.3,6227,485.1,2.3,0,0,0,0,0.1,0.3,6,0,0,ikan kerang udang,olahan/produk,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/5/31/7abefabd-7a9c-4faa-91f8-6a17ff7d0616.jpg
36,GP019,ikan mas pepes,KZGPI 1990,57.5,209,15.2,11.3,11.8,0.5,4.3,686,530,6.1,74,276.7,0.1,1.9,3,0,315,0.13,0.1,2.4,0,100,ikan kerang udang,olahan/produk,https://assets.pikiran-rakyat.com/crop/0x0:0x0/x/photo/2022/01/06/1877204615.jpg
37,GP020,ikan mujahir goreng,KZGPI 1990,44.7,416,46.9,23.9,0,0,2.2,346,654,0.9,54,278.9,0,0.2,12,3,8,0.12,0.1,2.2,0,100,ikan kerang udang,olahan/produk,https://kurio-img.kurioapps.com/22/10/07/3521e216-d7b3-498d-a045-95973e196c36.jpg
38,GP021,ikan mujahir pepes,KZGPI 1990,73.7,121,21.7,2.8,0.8,0,1,83,248,1.6,58,265.8,0,0.3,8,0,6,0,0.1,1.9,0,100,ikan kerang udang,olahan/produk,https://sweetrip.id/wp-content/uploads/2022/10/a-pepeas.jpg
39,GP022,ikan mujahir segar,KZGPI 1990,15.2,582,68.3,15.2,37.2,0,14.1,3258,1699,4.3,0,0,0,0,15,0,20,0.27,0,0,0,100,ikan kerang udang,olahan/produk,https://s4.bukalapak.com/img/9282888648/large/1792856_scaled.jpg
40,GP023,ikan papuyu bakar,KZGMI2001,66.6,152,17.6,6.1,6.7,0,3,244,227,3.4,320,224,0.2,1,0,0,0,0,0,0,0,0,ikan kerang udang,olahan/produk,https://img-global.cpcdn.com/recipes/c0df8c1401aba288/1200x630cq70/photo.jpg
41,GP024,ikan patin bakar,KZGMI2001,70.3,144,17.5,6.3,4.3,0,1.6,191,232,1.4,379,230,0.1,0.7,0,0,0,0,0,0,0,0,ikan kerang udang,olahan/produk,https://awsimages.detik.net.id/community/media/visual/2022/05/16/resep-ikan-patin-bakar-bumbu-kecap-pedas_43.jpeg?w=1200
42,GP025,ikan peda banjar mentah,DABM 1964,46,156,28,4,2,0,20,174,316,3.1,59,368.8,0,0.5,33,4,0,0.1,0.1,4.7,0,90,ikan kerang udang,olahan/produk,https://images.tokopedia.net/img/cache/500-square/product-1/2020/4/28/7175728/7175728_25c6290f-ccb7-47d2-a15c-1266d270670a_1000_1000.jpg
43,GP026,ikan pepetek mentah,DABM 60/64,33,176,32,4.4,2,0,28.6,120,200,1,79,1,0,0,15,0,0,0.05,0.1,2.4,0,0,ikan kerang udang,olahan/produk,https://upload.wikimedia.org/wikipedia/commons/1/18/Eubleekeria_splendens.jpg
44,GP027,ikan pindang banjar mentah,DABM 60/64,59,157,28,4.2,1.8,0,7,50,100,1,0,0,0,0,45,0,0,0.1,0,0,0,0,ikan kerang udang,olahan/produk,https://images.tokopedia.net/img/cache/700/VqbcmM/2020/9/9/44e37968-f73e-414b-85e9-9827c1aa143d.jpg
45,GP028,ikan pindang benggol mentah,DABM 60/64,57,170,31,4.2,0,0,7.8,50,100,1,0,0,0,0,45,0,0,0.1,0,0,0,0,ikan kerang udang,olahan/produk,https://images.tokopedia.net/img/cache/700/product-1/2020/5/18/100272860/100272860_f2502f9f-9d38-4cdd-b059-e7ca97aa1eff_663_663
46,GP029,ikan pindang layang mentah,DABM 60/64,60,153,30,2.8,0,0,7.2,60,200,3,0,0,0,0,61,0,0,0.07,0,0,0,0,ikan kerang udang,olahan/produk,https://cf.shopee.co.id/file/0e26765825aea3e4317d06e1bdc59e54
47,GP030,ikan pindang selar mentah,DABM 60/64,60,142,27,3,0,0,10,60,200,3,0,0,0,0,61,0,0,0.07,0,0,0,0,ikan kerang udang,olahan/produk,https://s3.dimanaja.com/resep/cover/pindang-ikan-selar-e069d05.webp
48,GP032,ikan sale lais mentah,KZGPI 1990,12.4,415,61.3,17.6,2.9,0,5.8,258,919,7,381,488,17.6,1,0,0,0,0.03,0.1,17.3,0,0,ikan kerang udang,olahan/produk,https://images.tokopedia.net/img/cache/700/product-1/2016/10/28/4294887/4294887_93a595e0-6049-492f-9da8-1a9d01d36dba.jpg
49,GP031,ikan sale mentah,BKP,8.5,534,40.2,39.3,4.9,2,7.1,199,1244,2.7,673,673,0.3,2.6,0,410,0,0.02,0.5,0,0,100,ikan kerang udang,olahan/produk,https://images.tokopedia.net/img/cache/700/product-1/2016/10/28/4294887/4294887_93a595e0-6049-492f-9da8-1a9d01d36dba.jpg
50,GP033,ikan saluang kering mentah,KZGMI2001,33.6,284,34.1,9.9,14.6,0,7.8,1426,1103,9.5,1767,263,1.3,18.7,0,0,0,0.49,0.03,0,0,0,ikan kerang udang,olahan/produk,https://cf.shopee.co.id/file/7c26ef3abb212c815cac1b6bb8aa7314
51,GP034,ikan sanggang masakan,KZGMI2001,42.6,240,21.7,7.7,20.7,0,7.3,159,362,9.8,2041,159,1.5,8.8,0,0,0,0.51,0.02,0,0,0,ikan kerang udang,olahan/produk,https://img-global.cpcdn.com/recipes/fafa134ca5a95acb/680x482cq70/ikan-bakar-kelabau-ala-mamak-tya-foto-resep-utama.jpg
52,GP035,ikan selar kering mentah,DABM 1964,59,138,27,3.3,0,0,0.7,50,100,2,0,0,0,0,45,0,0,0.1,0,0,0,90,ikan kerang udang,olahan/produk,tidak ada
53,GP036,ikan selar kuning cue mentah,DABM 60/64,43,194,38,3.5,0,0,15.5,20,200,1,0,0,0,0,0,0,0,0.01,0,0,0,0,ikan kerang udang,olahan/produk,https://upload.wikimedia.org/wikipedia/commons/3/3e/Selaro_leptole_100812-6006_tdp.jpg
54,GP037,ikan sepat kering mentah,DABM 60/64,30,289,38,14,0,0,18,40,100,0.7,0,0,0,0,0,0,0,0,0,0,0,0,ikan kerang udang,olahan/produk,tidak ada
55,GP038,ikan sunu asin mentah,KZGMI2001,34.7,199,34.1,3.8,7.1,0,20.3,94,92,2.2,377,57,0.1,3.2,2481,0,0,1.5,0.13,7.2,0,0,ikan kerang udang,olahan/produk,https://s1.bukalapak.com/img/10859818002/large/data.jpeg
56,GP040,ikan tepung mentah,DABM 60/64,34.5,144,32.5,0.6,0,0,32.4,1000,1000,3,312,0,0,0,61,0,0,0.1,0,0,0,0,ikan kerang udang,olahan/produk,https://www.hypermart.co.id/wp-content/uploads/elementor/thumbs/39-p5q08kcf3d0lwn296wiprds6lco6xhci500fw5m7fc.jpg
57,GP041,ikan terbang segar,DABM 60/64,15,277,60,2.3,1.8,0,20.9,1209,1225,3,0,0,0,0,90,0,0,0.1,0,0,0,0,ikan kerang udang,olahan/produk,https://cdn1-production-images-kly.akamaized.net/2nIB6HIv40IwoVBiHpf01GwGYG4=/1280x720/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/1379786/original/078541800_1476951455-ikan-terbang.jpg
58,GP042,ikan teri bubuk mentah,DABM 60/64,37.8,170,33.4,3,0,0,25.8,1200,1500,3.6,0,0,0,0,64,0,0,0.15,0,0,0,0,ikan kerang udang,olahan/produk,https://healthycornersby.com/wp-content/uploads/2020/02/WhatsApp-Image-2020-02-24-at-9.55.30-AM.jpeg
59,GP043,ikan teri kering mentah,DABM 60/64,16.7,331,68.7,4.2,0,0,10.4,2381,1500,23.4,0,0,0,0,61,0,0,0.1,0,0,0,0,ikan kerang udang,olahan/produk,https://cdn0-production-images-kly.akamaized.net/4bbReyz-sVqbGn_hW5cfWFGKH3k=/735x0:1734x1332/469x625/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/2874061/original/070741100_1565075348-shutterstock_1277489326.jpg
60,GP044,ikan teri nasi kering mentah,KZGPI 1990,5.2,347,48.8,6.4,19.6,0,20,4608,1200,18.6,0,0,0,0,61,0,130,1.12,0,0,0,0,ikan kerang udang,olahan/produk,https://s0.bukalapak.com/img/54156313/large/teri_nasi.jpg
61,GP039,ikan turi segar,KZGPI 1990,4.3,316,60.1,6.5,22.4,0,6.7,3196,1976,16.6,0,0,0,0,320,0,0,0,0,0,0,0,ikan kerang udang,olahan/produk,https://www.garnesia.com/images/vendor/v4934.jpg
62,GP070,jambal goreng masakan,KZGMS 1993,13.4,286,48.5,9.2,2.3,0,26.6,207,457,3.3,0,0,0,0,109,0,160,0.4,0,3.1,0,0,ikan kerang udang,olahan/produk,https://img-global.cpcdn.com/recipes/c8380e9b21a49f17/680x482cq70/ikan-asin-jambal-goreng-renyah-tips-foto-resep-utama.jpg
63,GP071,jukku pallu kaloa masakan,KZGMI2001,69.4,15,15.2,4.3,8.8,0,2.3,40,170,1.1,605,153,0.6,1.1,0,0,0,0.3,0.14,7.5,0,0,ikan kerang udang,olahan/produk,"https://blue.kumparan.com/image/upload/fl_progressive,fl_lossy,c_fill,q_auto:best,f_jpg,w_480/bj0crytdzulie8ypcyxz.jpg"
64,GP072,kaholeo masakan,KZGMI2001,11.2,413,28.7,19.8,29.8,0,10.5,909,1291,0,0,1171,0.1,3.1,4236,0,0,1.34,0.03,5.7,0,0,ikan kerang udang,olahan/produk,https://img-global.cpcdn.com/recipes/e82d99f1eb64c14b/680x482cq70/ikan-teri-kaholeo-masak-asam-khas-buton-sulawesi-foto-resep-utama.jpg
65,GP045,kerang asap mentah,KZGMI2001,9.3,393,38.9,13.3,29.4,0,9.1,420,410,8.5,160,50,0.6,3.7,0,0,0,0.3,1.7,0.2,0,100,ikan kerang udang,olahan/produk,https://paxelmarket.co/wp-content/uploads/2022/06/Screen-Shot-2022-06-29-at-10.00.22.png
66,GP046,kerang dendeng mentah,KZGPI 1990,18.3,357,41.1,10,25.6,0,5,217,904,5.2,0,0,0,0,0,0,329,0.27,0,0,0,100,ikan kerang udang,olahan/produk,https://4.bp.blogspot.com/-5I6Zu0DTOK8/V6wE5yIdA-I/AAAAAAAAJGY/SQEdOWqHUoEpdwm-J9RhQMDoXODT-zkrwCLcB/s1600/DK1x.jpg
67,GP073,lawara penjah,KZGMI2001,64.5,207,7.4,15.4,9.6,0,2.9,114,219,5.9,683,117,0.5,0.7,0,38,0,0.19,0.04,0,14,100,ikan kerang udang,olahan/produk,tidak ada
68,GP074,model masakan,KZGMI2001,83.9,79,2.2,4,8.6,0,1.3,8,33,0.8,147,34,0.1,0.5,0,0,0,0.16,0.02,0,0,0,ikan kerang udang,olahan/produk,tidak ada
69,GP075,mujahir acar kuning masakan,KZGPI 1990,43.1,330,17.8,23.4,12.1,1.1,4.6,154,357,5.3,0,0,0,0,24,0,4130,0.15,0,0,0,0,ikan kerang udang,olahan/produk,https://img-global.cpcdn.com/recipes/8bebe8ed6c7b4f07/680x482cq70/ikan-mujair-acar-kuning-foto-resep-utama.jpg
70,GP076,parede baleh masakan,KZGMI2001,80,87,10.5,2.5,5.5,0,1.5,35,215,0.9,416,59,0.1,0.2,0,0,0,0.24,0,0.7,0,0,ikan kerang udang,olahan/produk,"https://cdn.yummy.co.id/content-images/images/20200815/2YZZLlB1Zbu1u15lVU5vD8BzPnocXd9x-31353937343730313934d41d8cd98f00b204e9800998ecf8427e.jpg?x-oss-process=image/format,webp"
71,GP077,pempek adaan masakan,KZGMI2001,62.6,162,4.9,3,27.8,0,1.7,26,116,1,488,119,0.1,0.2,0,0,0,0.3,0.03,1,0,0,ikan kerang udang,olahan/produk,https://asset.kompas.com/crops/ZCo2_DcJAXGslXbYIM3Zv4nCzsA=/0x41:1000x708/750x500/data/photo/2021/03/01/603c1e79dd9d3.jpg
72,GP078,pempek belida masakan,KZGPI 1990,61.4,156,4.2,1.4,31.6,0.2,1.4,100,55,3.3,0,0,0,0,0,0,0,0.03,0,0,0,0,ikan kerang udang,olahan/produk,https://storage.hpaindonesia.net:8215/assets/71fe72e0c41bc168b875616e063f59fe/a5ef8b002a65c712f64b2d7df37c80c5.jpg
73,GP079,pempek kapal selam masakan,KZGMI2001,63.4,152,4.5,2.3,28.2,0,1.6,19,115,1.6,628,91,0.1,0.2,0,0,0,0.2,0.03,1,0,0,ikan kerang udang,olahan/produk,https://blog.duniamasak.com/wp-content/uploads/image2-1024x1024.jpeg
74,GP080,pempek kelesan masakan,KZGPI 1990,53,211,12.3,6.1,26.6,0.4,2,840,176,1.8,0,0,0,0,14,0,888,0.25,0,0,0,0,ikan kerang udang,olahan/produk,https://assets.ayobandung.com/crop/0x0:0x0/750x500/webp/photo/halloseleb/2020/11/Pempek-1.png
75,GP081,pempek kulit masakan,KZGMI2001,45.7,243,5.2,7.3,39.1,0,2.7,16,96,2,555,102,0.1,0.6,0,0,0,0.2,0.02,0.9,0,0,ikan kerang udang,olahan/produk,https://img.kurio.network/qccsgXHXu9eyYhL6WTN-KoaY8xE=/1200x1200/filters:quality(80)/https://kurio-img.kurioapps.com/20/06/05/40ff5973-31a7-407f-be12-b3d3af335023.jpg
76,GP082,pempek telur masakan,KZGMI2001,62.4,156,4.7,2.7,28.3,0,1.9,13,83,1.3,448,48,0.1,0.6,0,0,0,0.2,0.05,1.1,0,0,ikan kerang udang,olahan/produk,0
77,GP083,pempek tenggiri masakan,KZGPI 1990,56.3,173,7.2,1.2,33.4,0.2,1.9,164,80,3.1,0,0,0,0,0,0,0,0.02,0,0,0,0,ikan kerang udang,olahan/produk,https://s0.bukalapak.com/uploads/content_attachment/fd3107d582c4f80e5448ada5/original/foto_utama_pempek_2.jpg
78,GP084,pencok lele masakan,KZGPI 1990,47.5,372,7.8,36.3,3.5,0,4.9,289,295,5.3,0,0,0,0,64,0,12070,0.12,0,0,0,0,ikan kerang udang,olahan/produk,https://img-global.cpcdn.com/recipes/385569312441e99f/680x482cq70/pencok-lele-foto-resep-utama.jpg
79,GP085,pinda,KZGMI2001,71,107,15.9,0.6,0.4,0,3.1,375,336,1.9,526,330,0.2,1,896,0,0,0.89,0.05,0.5,0,0,ikan kerang udang,olahan/produk,https://cdn.idntimes.com/content-images/post/20200530/2-a6cb06028f22e293879ec7f5cc4a19fd.jpg
80,GP086,pindang kenari masakan,KZGMI2001,80.1,124,9.5,9.6,0,0,2.8,120,220,1.3,370,270,0.3,1.2,18,381,0,0,0,0.1,0,0,ikan kerang udang,olahan/produk,https://lestariweb.com/ResepImages/PindangIkanKenari.jpg
81,GP047,rebon kering mentah,DABM 60/64,21.6,299,59.4,3.6,3.2,0,12.2,2306,625,21.4,0,0,0,0,0,0,0,0.06,0,0,0,0,ikan kerang udang,olahan/produk,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/8/13/d25ccc26-81c6-414e-9210-b7b5a5903789.jpg
82,GP048,rebung laut mentah,KZGMI2001,18.2,320,7.2,4.2,63.3,0,7.1,240,570,6.6,20,1040,1.5,6.2,917,0,0,0,0,4.9,0,0,ikan kerang udang,olahan/produk,https://drive.google.com/file/d/1LZOGoU3M3XcPbU5_HaAZ26ybCTbiTXpT/view?usp=sharing
83,GP087,saboko gurita masakan,KZGMI2001,76.2,87,15.7,1.5,2.6,0,4.1,60,14,2.1,200,180,0.9,4,38,0,0,0,0,0,0,0,ikan kerang udang,olahan/produk,tidak ada
84,GP088,saboko saltan masakan,KZGMI2001,76,113,17.1,3.6,3,0,0.3,240,60,0.5,40,350,0.2,0.6,27,0,0,0,0,0.1,0,0,ikan kerang udang,olahan/produk,tidak ada
85,GP089,saboko sardin masakan,KZGMI2001,70,110,12.9,4.3,4.9,0,7.9,220,520,6,200,280,0.2,3.9,37,0,0,0,0,0,0,0,ikan kerang udang,olahan/produk,tidak ada
86,GP049,sardines dalam kaleng,DABM 60/64,47.1,338,21.1,27,1,0,3.8,354,434,3.5,0,0,0,0,76,0,0,0.1,0,0,0,0,ikan kerang udang,olahan/produk,https://linisehat.com/wp-content/uploads/2020/11/sarden-kaleng2.jpg
87,GP090,sate bandeng,BKP,47.1,283,12.1,16.8,20.9,2,3.1,118,186,1.2,543,199,0.2,0.9,0,2,0,0.02,0.02,0,0,82.4,ikan kerang udang,olahan/produk,https://asset.kompas.com/crops/4UfXhXtR7hK2atnUpqKRHGbhFuk=/3x0:700x465/750x500/data/photo/2021/02/16/602b2a91ca7f1.jpg
88,GP091,sepi masakan,KZGMI2001,66.1,88,7.9,1.6,10.6,0,13.8,924,350,2.3,873,258,1,1.1,783,0,0,0,0,0,0,0,ikan kerang udang,olahan/produk,https://img-global.cpcdn.com/recipes/5816c55413474302/1200x630cq70/photo.jpg
89,GP092,tekwan masakan,KZGMI2001,86.7,53,1.9,0.9,9.4,0,1.1,9,41,1,174,42,0,0,99,0,0,0.1,0.02,0.4,0,0,ikan kerang udang,olahan/produk,https://cdn0-production-images-kly.akamaized.net/j6uieBQwJPfQO1YqUyADA34MfBA=/0x355:667x731/1200x675/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3402174/original/073058800_1615863502-shutterstock_1597851637.jpg
90,GP093,teri belado masakan,KZGPI 1990,25.8,365,23.7,22.3,17.5,0,10.9,869,348,4,0,0,0,0,27,0,1567,0.13,0,0,0,0,ikan kerang udang,olahan/produk,https://t-2.tstatic.net/medan/foto/bank/images/Resep-Balado-Teri-Kacang.jpg
91,GP050,teripang dendeng mentah,KZGPI 1990,12.5,462,39.1,32.4,3.5,0,12.5,499,616,96.4,315,402.5,0,0,2,0,144,1.37,0,5.3,0,100,ikan kerang udang,olahan/produk,https://nilaigizi.com/assets/images/produk/produk_1535784851.jpg
92,GP094,tumis bandeng masakan,KZGMI2001,70.5,189,11.3,15.7,0.6,0,1.9,56,129,0.4,314,280,0.1,0.7,579,0,0,0.46,0.02,0,0,0,ikan kerang udang,olahan/produk,tidak ada
